ID	A-coref	B-coref
test-1	True	False
test-2	False	True
test-3	True	False
test-4	True	False
test-5	True	False
test-6	False	True
test-7	True	False
test-8	False	True
test-9	False	True
test-10	False	True
test-11	False	True
test-12	False	True
test-13	True	True
test-14	False	False
test-15	True	False
test-16	True	False
test-17	False	True
test-18	True	True
test-19	True	False
test-20	True	False
test-21	False	True
test-22	True	False
test-23	False	True
test-24	False	True
test-25	True	False
test-26	False	False
test-27	False	False
test-28	True	False
test-29	True	False
test-30	False	False
test-31	False	True
test-32	False	False
test-33	True	False
test-34	True	False
test-35	False	False
test-36	True	False
test-37	False	True
test-38	False	True
test-39	False	True
test-40	True	False
test-41	False	True
test-42	False	False
test-43	True	False
test-44	False	True
test-45	False	True
test-46	True	False
test-47	False	True
test-48	True	False
test-49	False	True
test-50	False	True
test-51	False	False
test-52	True	False
test-53	False	True
test-54	False	False
test-55	False	True
test-56	False	True
test-57	False	True
test-58	False	True
test-59	False	True
test-60	True	False
test-61	True	False
test-62	False	True
test-63	False	True
test-64	False	True
test-65	False	False
test-66	False	True
test-67	False	True
test-68	True	False
test-69	True	False
test-70	False	True
test-71	True	False
test-72	False	False
test-73	True	False
test-74	True	False
test-75	False	True
test-76	False	True
test-77	True	False
test-78	True	False
test-79	True	False
test-80	False	False
test-81	True	False
test-82	True	False
test-83	True	False
test-84	True	False
test-85	True	False
test-86	True	False
test-87	True	False
test-88	True	False
test-89	False	True
test-90	False	False
test-91	False	False
test-92	False	True
test-93	True	False
test-94	True	False
test-95	False	False
test-96	True	False
test-97	False	False
test-98	True	False
test-99	True	False
test-100	False	True
test-101	False	True
test-102	False	False
test-103	False	True
test-104	False	True
test-105	True	False
test-106	False	True
test-107	False	True
test-108	False	True
test-109	False	True
test-110	False	True
test-111	False	True
test-112	False	True
test-113	True	True
test-114	False	False
test-115	False	True
test-116	True	False
test-117	True	False
test-118	False	True
test-119	False	True
test-120	True	False
test-121	True	False
test-122	False	True
test-123	False	False
test-124	True	False
test-125	True	False
test-126	True	False
test-127	True	False
test-128	False	False
test-129	False	False
test-130	True	False
test-131	False	False
test-132	True	False
test-133	False	False
test-134	False	True
test-135	True	False
test-136	False	True
test-137	False	True
test-138	False	False
test-139	True	False
test-140	False	False
test-141	True	False
test-142	False	False
test-143	True	False
test-144	True	False
test-145	True	False
test-146	False	False
test-147	True	False
test-148	True	False
test-149	False	False
test-150	True	False
test-151	True	False
test-152	True	False
test-153	False	True
